a7,name_knows,edu_knows,job_knows,L_knows,L_knows_norm
670.0,-0.047321036,-0.3633802,-0.06850876,-0.22846416,0.27513236
671.0,-0.48374018,-0.71551174,-0.17975843,-0.65744543,0.13347667
672.0,-0.88658863,-0.71551174,-0.6247571,-1.0616579,-7.332227e-17
673.0,-0.7187351,-0.13929647,0.36412886,-0.27333456,0.2603155
674.0,-0.21517456,-0.1873144,-0.6247571,-0.48974124,0.18885496
675.0,-0.047321036,-0.011248629,-0.06850876,-0.060584888,0.33056846
676.0,-0.7187351,-0.1873144,-0.017940728,-0.4398011,0.2053459
677.0,-0.11188008,0.9097108,0.5733163,0.6536965,0.56643426
678.0,-0.21517456,0.5521619,0.3288115,0.30696982,0.4519402
679.0,-0.21517456,-0.1873144,0.4877396,0.001888236,0.35119796
680.0,-0.88658863,-0.011248629,-0.439341,-0.6375019,0.1400623
681.0,-0.88658863,-0.1873144,-0.017940728,-0.5198255,0.17892072
682.0,-0.88658863,-0.011248629,-0.439341,-0.6375019,0.1400623
683.0,1.1276536,0.42214406,0.4021629,0.9306003,0.65787184
685.0,-0.88658863,-0.45141307,0.010955291,-0.6099197,0.14917032
686.0,0.12053248,0.34088293,-0.06850876,0.18731885,0.41242978
687.0,0.288386,1.045146,-0.06850876,0.60310185,0.5497272
688.0,-0.88658863,-0.53944594,-0.6247571,-0.97771823,0.027718058
689.0,-0.3830281,0.34088293,0.11690736,0.03564296,0.36234426
691.0,0.12053248,0.7936235,0.16988339,0.51681745,0.52123487
692.0,-0.88658863,-0.53944594,-0.439341,-0.88932085,0.056908134
693.0,-0.21517456,0.16481715,0.1843314,0.056548912,0.3692477
694.0,0.45623952,0.34088293,0.8585718,0.78935486,0.61123055
695.0,0.79194653,-0.1873144,0.11690736,0.34399512,0.4641665
696.0,0.12053248,0.16481715,0.11690736,0.19177662,0.4139018
697.0,0.79194653,0.16481715,0.11690736,0.5118743,0.5196026
698.0,0.3219567,-0.5042328,-0.17975843,-0.17260057,0.2935793
699.0,1.1276536,0.49179646,-0.25392488,0.66831046,0.57126
700.0,1.1276536,-0.08167494,0.36412886,0.6549111,0.56683534
701.0,1.1276536,0.5169487,0.11690736,0.83980256,0.6278891
702.0,1.1276536,0.5846663,-0.11129709,0.76329017,0.60262364
703.0,0.45623952,-0.71551174,-0.439341,-0.333065,0.24059168
704.0,-0.7187351,-0.71551174,-0.439341,-0.89323604,0.05561528
6091.0,-0.7034757,0.1899694,-0.22021286,-0.38273573,0.2241897
6092.0,0.288386,0.05277529,-0.06850876,0.12789077,0.39280578
6093.0,0.62409306,0.24484704,-0.06850876,0.37187928,0.47337425
6101.0,0.79194653,0.07678426,-0.25392488,0.28090733,0.44333404
6102.0,-0.21517456,-0.52344,-0.439341,-0.5407963,0.17199586
6103.0,-0.3830281,-0.3633802,-0.25392488,-0.47691047,0.19309187
6104.0,-0.047321036,-0.3633802,-0.06850876,-0.22846416,0.27513236
,,-0.71551174,-0.6247571,-0.6389753,0.13957576
